"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa03022","hsa03022","Basal transcription factors","1/236","45/8644",0.713181926566661,0.971486841212644,0.921905375632413,"902",1
"hsa04270","hsa04270","Vascular smooth muscle contraction","3/236","134/8644",0.713648723777158,0.971486841212644,0.921905375632413,"805/133/94274",3
"hsa04658","hsa04658","Th1 and Th2 cell differentiation","2/236","92/8644",0.721003151962429,0.971486841212644,0.921905375632413,"2353/5534",2
"hsa04930","hsa04930","Type II diabetes mellitus","1/236","46/8644",0.721053663434933,0.971486841212644,0.921905375632413,"9021",1
"hsa04912","hsa04912","GnRH signaling pathway","2/236","93/8644",0.726546324890584,0.971486841212644,0.921905375632413,"805/1958",2
"hsa04970","hsa04970","Salivary secretion","2/236","93/8644",0.726546324890584,0.971486841212644,0.921905375632413,"805/6844",2
"hsa05135","hsa05135","Yersinia infection","3/236","137/8644",0.727628569062961,0.971486841212644,0.921905375632413,"6347/2353/2335",3
"hsa05322","hsa05322","Systemic lupus erythematosus","3/236","137/8644",0.727628569062961,0.971486841212644,0.921905375632413,"87/715/6738",3
"hsa00620","hsa00620","Pyruvate metabolism","1/236","47/8644",0.728710250481845,0.971486841212644,0.921905375632413,"3939",1
"hsa04371","hsa04371","Apelin signaling pathway","3/236","139/8644",0.736649520943491,0.971486841212644,0.921905375632413,"805/2785/1958",3
"hsa04360","hsa04360","Axon guidance","4/236","182/8644",0.737423941950301,0.971486841212644,0.921905375632413,"5534/1942/9723/1969",4
"hsa05150","hsa05150","Staphylococcus aureus infection","2/236","96/8644",0.742621044304861,0.971486841212644,0.921905375632413,"715/3872",2
"hsa04672","hsa04672","Intestinal immune network for IgA production","1/236","49/8644",0.743401240855254,0.971486841212644,0.921905375632413,"8741",1
"hsa05030","hsa05030","Cocaine addiction","1/236","49/8644",0.743401240855254,0.971486841212644,0.921905375632413,"2354",1
"hsa04070","hsa04070","Phosphatidylinositol signaling system","2/236","97/8644",0.747797499235624,0.971486841212644,0.921905375632413,"805/80271",2
"hsa04666","hsa04666","Fc gamma R-mediated phagocytosis","2/236","97/8644",0.747797499235624,0.971486841212644,0.921905375632413,"8613/8611",2
"hsa00330","hsa00330","Arginine and proline metabolism","1/236","50/8644",0.750446884503673,0.971486841212644,0.921905375632413,"8659",1
"hsa04925","hsa04925","Aldosterone synthesis and secretion","2/236","98/8644",0.752884678185383,0.971486841212644,0.921905375632413,"805/3949",2
"hsa05017","hsa05017","Spinocerebellar ataxia","3/236","143/8644",0.7539844234469,0.971486841212644,0.921905375632413,"7979/5687/5682",3
"hsa04810","hsa04810","Regulation of actin cytoskeleton","5/236","229/8644",0.754791623702528,0.971486841212644,0.921905375632413,"7114/221178/2335/87/5217",5
"hsa04913","hsa04913","Ovarian steroidogenesis","1/236","51/8644",0.757299867428636,0.971486841212644,0.921905375632413,"3949",1
"hsa04916","hsa04916","Melanogenesis","2/236","101/8644",0.767620539446575,0.971486841212644,0.921905375632413,"805/1857",2
"hsa04961","hsa04961","Endocrine and other factor-regulated calcium reabsorption","1/236","53/8644",0.77044869457098,0.971486841212644,0.921905375632413,"1173",1
"hsa04072","hsa04072","Phospholipase D signaling pathway","3/236","148/8644",0.77435566478662,0.971486841212644,0.921905375632413,"8613/8611/6464",3
"hsa05202","hsa05202","Transcriptional misregulation in cancer","4/236","193/8644",0.777890821745002,0.971486841212644,0.921905375632413,"5371/7468/1647/1026",4
"hsa00480","hsa00480","Glutathione metabolism","1/236","57/8644",0.794655943201935,0.971486841212644,0.921905375632413,"2879",1
"hsa01212","hsa01212","Fatty acid metabolism","1/236","57/8644",0.794655943201935,0.971486841212644,0.921905375632413,"51495",1
"hsa04350","hsa04350","TGF-beta signaling pathway","2/236","108/8644",0.799069661200705,0.971486841212644,0.921905375632413,"5515/7043",2
"hsa04620","hsa04620","Toll-like receptor signaling pathway","2/236","108/8644",0.799069661200705,0.971486841212644,0.921905375632413,"2353/10379",2
"hsa04659","hsa04659","Th17 cell differentiation","2/236","108/8644",0.799069661200705,0.971486841212644,0.921905375632413,"2353/5534",2
"hsa00240","hsa00240","Pyrimidine metabolism","1/236","58/8644",0.80029949710951,0.971486841212644,0.921905375632413,"4831",1
"hsa04923","hsa04923","Regulation of lipolysis in adipocytes","1/236","58/8644",0.80029949710951,0.971486841212644,0.921905375632413,"4852",1
"hsa04510","hsa04510","Focal adhesion","4/236","203/8644",0.810277226457371,0.971486841212644,0.921905375632413,"6464/2012/2335/87",4
"hsa04730","hsa04730","Long-term depression","1/236","60/8644",0.811127420610585,0.971486841212644,0.921905375632413,"5515",1
"hsa05205","hsa05205","Proteoglycans in cancer","4/236","205/8644",0.816272970994427,0.971486841212644,0.921905375632413,"960/355/2335/1026",4
"hsa00590","hsa00590","Arachidonic acid metabolism","1/236","61/8644",0.816320096371991,0.971486841212644,0.921905375632413,"2879",1
"hsa04725","hsa04725","Cholinergic synapse","2/236","113/8644",0.819175647820769,0.971486841212644,0.921905375632413,"2353/2785",2
"hsa01200","hsa01200","Carbon metabolism","2/236","115/8644",0.82670255979145,0.971486841212644,0.921905375632413,"230/5214",2
"hsa04670","hsa04670","Leukocyte transendothelial migration","2/236","115/8644",0.82670255979145,0.971486841212644,0.921905375632413,"4301/87",2
"hsa04726","hsa04726","Serotonergic synapse","2/236","115/8644",0.82670255979145,0.971486841212644,0.921905375632413,"1843/2785",2
"hsa03082","hsa03082","ATP-dependent chromatin remodeling","2/236","117/8644",0.833947586416427,0.971486841212644,0.921905375632413,"23506/6601",2
"hsa04927","hsa04927","Cortisol synthesis and secretion","1/236","65/8644",0.835707302375567,0.971486841212644,0.921905375632413,"3949",1
"hsa05321","hsa05321","Inflammatory bowel disease","1/236","65/8644",0.835707302375567,0.971486841212644,0.921905375632413,"7043",1
"hsa05221","hsa05221","Acute myeloid leukemia","1/236","67/8644",0.844622553468358,0.971486841212644,0.921905375632413,"5371",1
"hsa04919","hsa04919","Thyroid hormone signaling pathway","2/236","121/8644",0.847625396116773,0.971486841212644,0.921905375632413,"5214/5208",2
"hsa00830","hsa00830","Retinol metabolism","1/236","68/8644",0.848897833564134,0.971486841212644,0.921905375632413,"51109",1
"hsa05206","hsa05206","MicroRNAs in cancer","6/236","310/8644",0.856053581377965,0.971486841212644,0.921905375632413,"3925/960/6464/1942/1026/54541",6
"hsa05120","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","1/236","70/8644",0.857100136312627,0.971486841212644,0.921905375632413,"527",1
"hsa04622","hsa04622","RIG-I-like receptor signaling pathway","1/236","71/8644",0.861033465893945,0.971486841212644,0.921905375632413,"5300",1
"hsa00562","hsa00562","Inositol phosphate metabolism","1/236","73/8644",0.868579611261985,0.971486841212644,0.921905375632413,"80271",1
"hsa00230","hsa00230","Purine metabolism","2/236","128/8644",0.869126154153734,0.971486841212644,0.921905375632413,"2987/4831",2
"hsa03320","hsa03320","PPAR signaling pathway","1/236","75/8644",0.875717628764785,0.971486841212644,0.921905375632413,"51129",1
"hsa04142","hsa04142","Lysosome","2/236","132/8644",0.880129631201833,0.971486841212644,0.921905375632413,"1509/527",2
"hsa01521","hsa01521","EGFR tyrosine kinase inhibitor resistance","1/236","79/8644",0.88885603854025,0.971486841212644,0.921905375632413,"6464",1
"hsa00983","hsa00983","Drug metabolism - other enzymes","1/236","80/8644",0.891918499124546,0.971486841212644,0.921905375632413,"4831",1
"hsa04550","hsa04550","Signaling pathways regulating pluripotency of stem cells","2/236","143/8644",0.906143336090661,0.971486841212644,0.921905375632413,"6657/1857",2
"hsa05130","hsa05130","Pathogenic Escherichia coli infection","3/236","198/8644",0.911215675635197,0.971486841212644,0.921905375632413,"2353/355/10381",3
"hsa04060","hsa04060","Cytokine-cytokine receptor interaction","5/236","297/8644",0.913270699303018,0.971486841212644,0.921905375632413,"6347/355/9180/8741/7043",5
"hsa05132","hsa05132","Salmonella infection","4/236","249/8644",0.913294716579651,0.971486841212644,0.921905375632413,"2353/10381/5878/5217",4
"hsa04540","hsa04540","Gap junction","1/236","88/8644",0.913578148172227,0.971486841212644,0.921905375632413,"10381",1
"hsa04976","hsa04976","Bile secretion","1/236","89/8644",0.915961920616284,0.971486841212644,0.921905375632413,"3949",1
"hsa01240","hsa01240","Biosynthesis of cofactors","2/236","153/8644",0.925133036508611,0.971486841212644,0.921905375632413,"51109/4831",2
"hsa04261","hsa04261","Adrenergic signaling in cardiomyocytes","2/236","154/8644",0.926819480714479,0.971486841212644,0.921905375632413,"805/5515",2
"hsa04148","hsa04148","Efferocytosis","2/236","156/8644",0.930085765621118,0.971486841212644,0.921905375632413,"575/5878",2
"hsa05215","hsa05215","Prostate cancer","1/236","97/8644",0.932819280016873,0.971486841212644,0.921905375632413,"1026",1
"hsa05410","hsa05410","Hypertrophic cardiomyopathy","1/236","97/8644",0.932819280016873,0.971486841212644,0.921905375632413,"7043",1
"hsa04750","hsa04750","Inflammatory mediator regulation of TRP channels","1/236","98/8644",0.934674275912043,0.971486841212644,0.921905375632413,"805",1
"hsa04217","hsa04217","Necroptosis","2/236","159/8644",0.934728799510876,0.971486841212644,0.921905375632413,"355/10379",2
"hsa04640","hsa04640","Hematopoietic cell lineage","1/236","99/8644",0.936478262675998,0.971486841212644,0.921905375632413,"960",1
"hsa04061","hsa04061","Viral protein interaction with cytokine and cytokine receptor","1/236","100/8644",0.938232637164993,0.971486841212644,0.921905375632413,"6347",1
"hsa04914","hsa04914","Progesterone-mediated oocyte maturation","1/236","102/8644",0.941597947312076,0.971486841212644,0.921905375632413,"51529",1
"hsa04972","hsa04972","Pancreatic secretion","1/236","102/8644",0.941597947312076,0.971486841212644,0.921905375632413,"885",1
"hsa03008","hsa03008","Ribosome biogenesis in eukaryotes","2/236","164/8644",0.941826525141235,0.971486841212644,0.921905375632413,"55651/10248",2
"hsa05414","hsa05414","Dilated cardiomyopathy","1/236","103/8644",0.943211490327102,0.971486841212644,0.921905375632413,"7043",1
"hsa04064","hsa04064","NF-kappa B signaling pathway","1/236","104/8644",0.94478063776684,0.971486841212644,0.921905375632413,"1647",1
"hsa04022","hsa04022","cGMP-PKG signaling pathway","2/236","167/8644",0.945727720422915,0.971486841212644,0.921905375632413,"805/5534",2
"hsa04310","hsa04310","Wnt signaling pathway","2/236","174/8644",0.953887453052056,0.976070882192802,0.92625546236797,"5534/1857",2
"hsa04020","hsa04020","Calcium signaling pathway","3/236","253/8644",0.971468688169695,0.990222909949033,0.939685217575239,"805/80271/5534",3
"hsa04936","hsa04936","Alcoholic liver disease","1/236","142/8644",0.981007060585586,0.996099476902287,0.94526186404603,"355",1
"hsa04080","hsa04080","Neuroactive ligand-receptor interaction","4/236","367/8644",0.991550755896275,0.999626050425394,0.948608452955517,"885/6750/133/4852",4
"hsa04814","hsa04814","Motor proteins","1/236","193/8644",0.995499979179524,0.999626050425394,0.948608452955517,"10381",1
"hsa05207","hsa05207","Chemical carcinogenesis - receptor activation","1/236","212/8644",0.997374261009158,0.999626050425394,0.948608452955517,"2353",1
"hsa04740","hsa04740","Olfactory transduction","3/236","439/8644",0.999626050425394,0.999626050425394,0.948608452955517,"805/157/156",3
