"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000276","CC","GO:0000276","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","6/914","11/19869",3.53018332196333e-06,0.000110364678591906,9.62243875017152e-05,"521/517/10632/10476/515/522",6
"GO:0005844","CC","GO:0005844","polysome","13/914","66/19869",8.04559860574242e-06,0.00023895427859055,0.000208338658632909,"1981/5682/6161/6173/6135/6171/10985/6194/5687/4736/6128/6156/6132",13
"GO:0033178","CC","GO:0033178","proton-transporting two-sector ATPase complex, catalytic domain","7/914","19/19869",1.31952749074675e-05,0.000373237775954082,0.000325417305988673,"514/513/498/506/509/529/51382",7
"GO:0033177","CC","GO:0033177","proton-transporting two-sector ATPase complex, proton-transporting domain","8/914","26/19869",1.44883145130822e-05,0.00039118449185322,0.000341064628729017,"521/527/517/10632/10476/515/10159/522",8
"GO:0070069","CC","GO:0070069","cytochrome complex","10/914","42/19869",1.55152068362624e-05,0.000400697080901732,0.000349358433109432,"4697/1350/1329/29796/1345/1347/1340/7388/27089/440567",10
"GO:1990204","CC","GO:1990204","oxidoreductase complex","18/914","125/19869",1.65868594703373e-05,0.000410524771890847,0.000357926967517804,"4697/29796/4729/4714/7388/126328/4725/27089/51079/4713/55967/54539/440567/4694/4698/4715/4704/4709",18
"GO:0005940","CC","GO:0005940","septin ring","6/914","14/19869",2.0365512518006e-05,0.000448041275396131,0.000390636731339529,"989/55752/4735/10801/23176/55964",6
"GO:0031105","CC","GO:0031105","septin complex","6/914","14/19869",2.0365512518006e-05,0.000448041275396131,0.000390636731339529,"989/55752/4735/10801/23176/55964",6
"GO:0045263","CC","GO:0045263","proton-transporting ATP synthase complex, coupling factor F(o)","6/914","14/19869",2.0365512518006e-05,0.000448041275396131,0.000390636731339529,"521/517/10632/10476/515/522",6
"GO:0022627","CC","GO:0022627","cytosolic small ribosomal subunit","10/914","45/19869",2.96769934096452e-05,0.000629576217333186,0.000548912810434038,"6230/6232/6233/6194/6224/2197/6208/7311/6202/6217",10
"GO:0015935","CC","GO:0015935","small ribosomal subunit","13/914","77/19869",4.53006553405224e-05,0.000927882388698975,0.000808998999184646,"64968/6230/6232/28957/6233/6194/6224/2197/51650/6208/7311/6202/6217",13
"GO:0032156","CC","GO:0032156","septin cytoskeleton","6/914","16/19869",5.01644273074969e-05,0.000993255660688439,0.000865996429308368,"989/55752/4735/10801/23176/55964",6
"GO:0042788","CC","GO:0042788","polysomal ribosome","8/914","31/19869",5.96123438692108e-05,0.00114224942768746,0.000995900617441484,"6161/6173/6135/6171/4736/6128/6156/6132",8
"GO:0030672","CC","GO:0030672","synaptic vesicle membrane","16/914","114/19869",6.61784094818487e-05,0.00119121137067328,0.00103858939282518,"255057/6844/527/8675/6857/118426/5864/23176/808/79772/529/10159/2890/6622/132204/5874",16
"GO:0099501","CC","GO:0099501","exocytic vesicle membrane","16/914","114/19869",6.61784094818487e-05,0.00119121137067328,0.00103858939282518,"255057/6844/527/8675/6857/118426/5864/23176/808/79772/529/10159/2890/6622/132204/5874",16
"GO:0015934","CC","GO:0015934","large ribosomal subunit","16/914","115/19869",7.36491514422646e-05,0.00128669399872662,0.00112183846778929,"6161/6173/6135/6171/6165/9045/6159/6166/4736/6138/6182/7311/6128/6156/6132/9553",16
"GO:0014069","CC","GO:0014069","postsynaptic density","31/914","321/19869",8.45562318418756e-05,0.00140603264576812,0.0012258870489419,"5071/4038/3337/575/6230/22859/6232/2785/25945/4900/22829/2596/5800/2903/9045/388135/4736/23237/22941/6546/2915/6208/6128/6156/2890/2904/3756/10486/6132/55333/81926",31
"GO:0098984","CC","GO:0098984","neuron to neuron synapse","33/914","351/19869",8.52140997435223e-05,0.00140603264576812,0.0012258870489419,"5071/4038/3337/575/6230/22859/6857/6232/2785/25945/4900/22829/2596/5800/2903/9045/388135/4736/23237/22941/6546/2915/6208/6128/6156/2890/2904/3756/10486/6132/55333/11069/81926",33
"GO:0030658","CC","GO:0030658","transport vesicle membrane","24/914","222/19869",9.38850773446175e-05,0.00150723610655953,0.00131412398445382,"255057/6844/527/29106/8675/57221/6857/4900/118426/5864/23176/808/79772/529/567/10159/83988/2890/6622/966/9718/9570/132204/5874",24
"GO:0099572","CC","GO:0099572","postsynaptic specialization","32/914","342/19869",0.000118595316157173,0.00180901618735461,0.00157723899375947,"5071/4038/3337/575/6230/22859/6232/2785/25945/4900/22829/2596/5800/2903/9045/388135/4736/23237/22941/6546/2915/6208/6128/6156/2890/2561/2904/3756/10486/6132/55333/81926",32
"GO:0032279","CC","GO:0032279","asymmetric synapse","31/914","327/19869",0.000118773790078838,0.00180901618735461,0.00157723899375947,"5071/4038/3337/575/6230/22859/6232/2785/25945/4900/22829/2596/5800/2903/9045/388135/4736/23237/22941/6546/2915/6208/6128/6156/2890/2904/3756/10486/6132/55333/81926",31
"GO:0030673","CC","GO:0030673","axolemma","5/914","14/19869",0.000288066630240708,0.00427778945907451,0.00372970479153758,"26047/6092/7070/3756/4642",5
"GO:0005665","CC","GO:0005665","RNA polymerase II, core complex","5/914","15/19869",0.000415789253669927,0.00602387357755942,0.00525207478319907,"548644/246721/5437/5439/5441",5
"GO:0005751","CC","GO:0005751","mitochondrial respiratory chain complex IV","6/914","25/19869",0.000777601872470357,0.0109975121963665,0.00958847421692771,"4697/1350/1329/1345/1347/1340",6
"GO:0045277","CC","GO:0045277","respiratory chain complex IV","6/914","28/19869",0.00147037532405872,0.0203116963369973,0.0177092939886632,"4697/1350/1329/1345/1347/1340",6
"GO:0008021","CC","GO:0008021","synaptic vesicle","20/914","208/19869",0.00152741796082611,0.0206201424711525,0.0179782209743169,"4735/114088/255057/6844/527/8675/9001/6857/118426/2903/5864/23176/808/79772/529/10159/2890/6622/132204/5874",20
"GO:0032589","CC","GO:0032589","neuron projection membrane","9/914","60/19869",0.00158906573323409,0.02097566767869,0.0182881951052906,"84059/26047/6092/9750/10159/2890/7070/3756/4642",9
"GO:0030426","CC","GO:0030426","growth cone","17/914","167/19869",0.00182373203867664,0.0235499311081287,0.0205326353095859,"255057/22859/25861/9001/2596/11075/5800/808/10409/22941/10381/26059/6622/7070/3320/114787/4747",17
"GO:1904115","CC","GO:1904115","axon cytoplasm","9/914","62/19869",0.00200957418783566,0.0253975971824337,0.0221435722377412,"3315/9001/6647/7345/2647/26258/63915/5874/4747",9
"GO:0098839","CC","GO:0098839","postsynaptic density membrane","11/914","89/19869",0.0025306689598153,0.030939729677286,0.0269756282141144,"25945/22829/5800/2903/23237/2915/2890/2904/3756/55333/81926",11
"GO:0036464","CC","GO:0036464","cytoplasmic ribonucleoprotein granule","22/914","248/19869",0.0025522672629411,0.030939729677286,0.0269756282141144,"23318/27327/7538/23034/1994/1981/84331/3192/550643/348262/677/7072/84324/7846/6194/5687/23237/6128/23741/55337/23435/25819",22
"GO:0030427","CC","GO:0030427","site of polarized growth","17/914","173/19869",0.00265322496510039,0.0315203125853927,0.0274818249016714,"255057/22859/25861/9001/2596/11075/5800/808/10409/22941/10381/26059/6622/7070/3320/114787/4747",17
"GO:0035770","CC","GO:0035770","ribonucleoprotein granule","23/914","265/19869",0.00272690020287863,0.0315969056675411,0.0275486046224176,"23318/27327/7538/23034/1994/1981/84331/3192/550643/348262/677/7072/84324/7846/6194/5687/23237/6128/7341/23741/55337/23435/25819",23
"GO:0120111","CC","GO:0120111","neuron projection cytoplasm","11/914","90/19869",0.00276605908200697,0.0315969056675411,0.0275486046224176,"3315/3192/9001/6647/7345/2647/23237/26258/63915/5874/4747",11
"GO:0043197","CC","GO:0043197","dendritic spine","17/914","175/19869",0.00299137632745907,0.0330703337384941,0.0288332521696599,"55752/3337/575/9001/8572/40/4900/5800/2903/23237/22941/6546/2915/10159/2890/9758/81926",17
"GO:0005750","CC","GO:0005750","mitochondrial respiratory chain complex III","4/914","14/19869",0.00307480584802878,0.0330703337384941,0.0288332521696599,"29796/7388/27089/440567",4
"GO:0045275","CC","GO:0045275","respiratory chain complex III","4/914","14/19869",0.00307480584802878,0.0330703337384941,0.0288332521696599,"29796/7388/27089/440567",4
"GO:0030055","CC","GO:0030055","cell-substrate junction","33/914","432/19869",0.00314934488180654,0.0330703337384941,0.0288332521696599,"55914/3303/3304/3315/51495/575/527/8675/157285/5478/5819/6385/3716/129446/1266/5479/4736/1012/388/567/6208/6202/6128/6156/7529/84964/6217/7070/51474/966/6132/8470/30011",33
"GO:0044309","CC","GO:0044309","neuron spine","17/914","176/19869",0.00317341586379489,0.0330703337384941,0.0288332521696599,"55752/3337/575/9001/8572/40/4900/5800/2903/23237/22941/6546/2915/10159/2890/9758/81926",17
"GO:0070382","CC","GO:0070382","exocytic vesicle","20/914","226/19869",0.00401260451109325,0.0405132361124815,0.0353225450422487,"4735/114088/255057/6844/527/8675/9001/6857/118426/2903/5864/23176/808/79772/529/10159/2890/6622/132204/5874",20
"GO:0005925","CC","GO:0005925","focal adhesion","32/914","422/19869",0.00402404197076837,0.0405132361124815,0.0353225450422487,"3303/3304/3315/51495/575/527/8675/157285/5478/5819/6385/3716/129446/1266/5479/4736/1012/388/567/6208/6202/6128/6156/7529/84964/6217/7070/51474/966/6132/8470/30011",32
"GO:0030133","CC","GO:0030133","transport vesicle","32/914","423/19869",0.00416804417727231,0.0412636373549959,0.0359768023722452,"4735/114088/255057/6844/527/29106/8675/57221/9001/6857/25924/4900/118426/2903/5864/23176/808/79772/529/567/10159/83988/2890/26258/6622/966/11161/9718/9570/132204/63915/5874",32
"GO:0030662","CC","GO:0030662","coated vesicle membrane","18/914","198/19869",0.00465722092705543,0.0446191811398537,0.0389024226844019,"6844/527/6857/7037/4900/1173/3092/5864/205428/529/567/10159/83988/2890/51382/966/146705/9570",18
"GO:0055037","CC","GO:0055037","recycling endosome","18/914","198/19869",0.00465722092705543,0.0446191811398537,0.0389024226844019,"23678/100287171/27342/57614/8572/7037/7846/10807/55532/53916/79772/55610/567/117584/2890/100533105/374666/81926",18
"GO:0046933","MF","GO:0046933","proton-transporting ATP synthase activity, rotational mechanism","11/874","17/18432",2.4404252415016e-11,2.07436145527636e-08,1.94206471850022e-08,"521/514/513/527/498/506/509/10632/10476/515/522",11
"GO:0015252","MF","GO:0015252","proton channel activity","11/874","24/18432",3.62283251456621e-09,1.53970381869064e-06,1.44150599000635e-06,"521/514/513/527/498/506/509/10632/10476/515/522",11
"GO:0003735","MF","GO:0003735","structural constituent of ribosome","27/874","176/18432",6.72708774729123e-08,1.90600819506585e-05,1.78444853928146e-05,"64968/6230/6161/6173/6232/6233/6135/6171/6165/6194/9045/6224/2197/6159/6166/4736/6138/51650/6182/6208/7311/6202/6128/6156/6217/6132/9553",27
"GO:0015453","MF","GO:0015453","oxidoreduction-driven active transmembrane transporter activity","15/874","71/18432",9.27786269281178e-07,0.00019715458222225,0.000184580636730676,"4697/1329/29796/4729/4714/1340/7388/4725/4713/55967/4694/4698/4715/4704/4709",15
"GO:0008137","MF","GO:0008137","NADH dehydrogenase (ubiquinone) activity","11/874","41/18432",2.18426269287358e-06,0.000371324657788509,0.000347642651749985,"4697/4729/4714/4725/4713/55967/4694/4698/4715/4704/4709",11
"GO:0050136","MF","GO:0050136","NADH dehydrogenase (quinone) activity","11/874","42/18432",2.8333554532755e-06,0.000401392022547363,0.000375792407487067,"4697/4729/4714/4725/4713/55967/4694/4698/4715/4704/4709",11
"GO:0003954","MF","GO:0003954","NADH dehydrogenase activity","11/874","44/18432",4.65366003929729e-06,0.000565087290486099,0.000529047667625376,"4697/4729/4714/4725/4713/55967/4694/4698/4715/4704/4709",11
"GO:0003955","MF","GO:0003955","NAD(P)H dehydrogenase (quinone) activity","11/874","45/18432",5.89733942560153e-06,0.000626592313970162,0.000586630079704573,"4697/4729/4714/4725/4713/55967/4694/4698/4715/4704/4709",11
"GO:0016655","MF","GO:0016655","oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor","12/874","57/18432",1.17812930532213e-05,0.00111267767724867,0.00104171433312693,"4697/9946/4729/4714/4725/4713/55967/4694/4698/4715/4704/4709",12
"GO:0015399","MF","GO:0015399","primary active transmembrane transporter activity","22/874","169/18432",1.67488620548358e-05,0.00142365327466104,0.00133285681194272,"527/4697/506/1329/29796/4729/4714/1340/7388/529/4725/4713/5243/55967/9914/51382/4694/481/4698/4715/4704/4709",22
"GO:0072542","MF","GO:0072542","protein phosphatase activator activity","6/874","16/18432",5.93940322526475e-05,0.0044565950209592,0.00417236636017976,"805/57223/5524/808/55671/23645",6
"GO:0009055","MF","GO:0009055","electron transfer activity","17/874","122/18432",6.29166355900123e-05,0.0044565950209592,0.00417236636017976,"8659/4697/1329/29796/4729/4714/1340/7388/4725/4713/55967/54205/4694/4698/4715/4704/4709",17
"GO:0015078","MF","GO:0015078","proton transmembrane transporter activity","18/874","136/18432",7.69802073947868e-05,0.00503332125273606,0.00471231067129221,"521/514/513/527/498/506/1329/29796/509/517/10632/10476/1340/7388/529/515/522/51382",18
"GO:0031625","MF","GO:0031625","ubiquitin protein ligase binding","29/874","299/18432",0.000216817985611195,0.0117788716250431,0.011027649471867,"5071/3303/3304/100287171/527/3725/55719/23111/6233/7314/5187/7345/3716/55284/10376/6135/4157/4792/6923/10273/55072/11345/7311/292/5243/7341/117584/3320/30011",29
"GO:0016651","MF","GO:0016651","oxidoreductase activity, acting on NAD(P)H","13/874","87/18432",0.000221550186154205,0.0117788716250431,0.011027649471867,"150209/4697/9946/4729/4714/4725/4713/55967/4694/4698/4715/4704/4709",13
"GO:0035259","MF","GO:0035259","nuclear glucocorticoid receptor binding","5/874","13/18432",0.0002217199364714,0.0117788716250431,0.011027649471867,"3164/8204/1051/7533/8013",5
"GO:0044389","MF","GO:0044389","ubiquitin-like protein ligase binding","30/874","318/18432",0.0002750233700008,0.0132317541489773,0.0123878713766277,"5071/3303/3304/100287171/527/3725/55719/23111/6233/7314/5187/7345/1051/3716/55284/10376/6135/4157/4792/6923/10273/55072/11345/7311/292/5243/7341/117584/3320/30011",30
"GO:0035198","MF","GO:0035198","miRNA binding","8/874","37/18432",0.000280201852566578,0.0132317541489773,0.0123878713766277,"6657/283131/23318/1994/3178/79670/100750247/51490",8
"GO:0008195","MF","GO:0008195","phosphatidate phosphatase activity","5/874","14/18432",0.000331468947236806,0.0148288739553308,0.0138831315296967,"8613/8611/64748/54886/84513",5
"GO:0016279","MF","GO:0016279","protein-lysine N-methyltransferase activity","10/874","59/18432",0.00041415386618533,0.0176015393128765,0.0164789643597953,"64754/54904/7468/51111/65990/134145/84787/751071/221143/399818",10
"GO:0016278","MF","GO:0016278","lysine N-methyltransferase activity","10/874","60/18432",0.000476195517008768,0.0184630855775568,0.0172855637110005,"64754/54904/7468/51111/65990/134145/84787/751071/221143/399818",10
"GO:0016846","MF","GO:0016846","carbon-sulfur lyase activity","5/874","15/18432",0.00047786809730147,0.0184630855775568,0.0172855637110005,"883/51540/56267/4259/4056",5
"GO:0019211","MF","GO:0019211","phosphatase activator activity","6/874","23/18432",0.000562946287948733,0.0208045367285401,0.0194776839217045,"805/57223/5524/808/55671/23645",6
"GO:0051082","MF","GO:0051082","unfolded protein binding","15/874","124/18432",0.000783155518796583,0.027736757957379,0.0259677882548341,"3303/3304/3315/3337/11080/5478/4666/3336/5479/56605/3324/6447/342538/51726/3320",15
"GO:0044325","MF","GO:0044325","transmembrane transporter binding","15/874","128/18432",0.00108926977684011,0.0370351724125639,0.0346731768964685,"805/5348/6526/255057/9001/2257/1173/7533/808/7881/6546/10523/29085/3320/3756",15
